title,authors,journal,date,cites number,abstract,significant relationship,conclusion,suggestion
Global perspectives on the urban stream syndrome,"Booth D.B., Roy A.H., Smith B., Capps K.A.",Freshwater Science,2016-03-01,12,"Copyright, 2016 by The Society for Freshwater Science.Urban streams commonly express degraded physical, chemical, and biological conditions that have been collectively termed the urban stream syndrome. The description of the syndrome highlights the broad similarities among these streams relative to their less-impaired counterparts. Awareness of these commonalities has fostered rapid improvements in the management of urban stormwater for the protection of downstream watercourses, but the focus on the similarities among urban streams has obscured meaningful differences among them. Key drivers of stream responses to urbanization can vary greatly among climatological and physiographic regions of the globe, and the differences can be manifested in individual stream channels even through the homogenizing veneer of urban development. We provide examples of differences in natural hydrologic and geologic settings (within similar regions) that can result in different mechanisms of stream ecosystem response to urbanization and, as such, should lead to different management approaches. The idea that all urban streams can be cured using the same treatment is simplistic, but overemphasizing the tremendous differences among natural (or human-altered) systems also can paralyze management. Thoughtful integration of work that recognizes the commonalities of the urban stream syndrome across the globe has benefitted urban stream management. Now we call for a more nuanced understanDing of the regional, subregional, and local attributes of any given urban stream and its watershed to advance the physical, chemical, and ecological recovery of these systems.",None,None,None
Thermal performance improvement of a horizontal ground-coupled heat exchanger by rainwater harvest,"Gao Y., Fan R., Li H., Liu R., Lin X., Guo H., Gao Y.",Energy and Buildings,2016-01-01,4,"Copyright, 2015 Elsevier B.V. All rights reserved. Increased moisture content leads to increased thermal conductivity and is beneficial for heat exchange of ground-coupled heat exchangers (GCHE). In this study, a horizontal GCHE was combined with a rain garden, characterized by the beneficial supply of rainwater to groundwater, increased soil moisture content and favorable conditions for GCHE. Sandy soil container experiment results showed that water immigration was possible under thermal action of the horizontal GCHE. Compared with little water transfer under the heat evacuation condition, with a relatively small temperature difference between fluid and adjacent soils, heat and water transfer were coupled under the heat rejection condition and a drying region appeared at regions adjacent to the tube wall because of the relatively large temperature difference. Water immigration was more likely to occur when sandy soil had low moisture content, for example 0.1 m3/m3. The coupled heat and water transfer model was necessary for prediction of horizontal GCHE thermal performance. Under high moisture content conditions, the coupled model was dispensable but it was necessary to consider moisture-dependent variation in thermal conductivity.",None,None,None
Modeling flood reduction effects of low impact development at a watershed scale,"Ahiablame L., Shakya R.",Journal of Environmental Management,2016-04-15,2,"Copyright, 2016 Elsevier Ltd.Low impact development (LID) is a land development approach that seeks to mimic a site's pre-development hydrology. This study is a case study that assessed flood reduction capabilities of large-scale adoption of LID practices in an urban watershed in central Illinois using the Personal Computer Storm Water Management Model (PCSWMM). Two flood metrics based on runoff discharge were developed to determine action flood (43 m3/s) and major flood (95 m3/s). Four land use scenarios for urban growth were evaluated to determine the impacts of urbanization on runoff and flooding. Flood attenuation effects of porous pavement, rain barrel, and rain garden at various application levels were also evaluated as retrofitting technologies in the study watershed over a period of 30 years. Simulation results indicated that increase in urban land use from 50 to 94% between 1992 and 2030 increased average annual runoff and flood events by more than 30%, suggesting that urbanization without sound management would increase flood risks. The various implementation levels of the three LID practices resulted in 3-47% runoff reduction in the study watershed. Flood flow events that include action floods and major floods were also reduced by 0-40%, indicating that LID practices can be used to mitigate flood risk in urban watersheds. The study provides an insight into flood management with LID practices in existing urban areas.",None,None," Simulation results indicated that increase in urban land use from 50 to 94% between 1992 and 2030 increased average annual runoff and flood events by more than 30%, suggesting that urbanization without sound management would increase flood risks"
"Impact of residential prairie gardens on the physical properties of urban soil in Madison, Wisconsin","Johnston M.R., Balster N.J., Zhu J.",Journal of Environmental Quality,2016-01-01,2,"Copyright, American Society of Agronomy, Crop Science Society of America, and Soil Science Society of America. 5585 Guilford Rd., Madison, WI 53711 USA. Prairie gardens have become a common addition to residential communities in the midwestern United States because prairie vegetation is native to the region, requires fewer resources to maintain than turfgrass, and has been promoted to help remediate urban soil. Although prairie systems typically have deeper and more diverse root systems than traditional turfgrass, no one has tested the effect of this vegetation type on the physical properties of urban soil. We hypothesized that residential prairie gardens would yield lower soil bulk density (BD), lower penetration resistance (PR), greater soil organic matter (SOM), and greater saturated hydraulic conductivity (Ksat) compared with turfgrass lawns. To test this hypothesis, we examined 12 residential properties in Madison, WI, where homeowners had established a prairie garden within their turfgrass lawn. Despite a consistent trend in the difference between vegetation types, no significant main effects were found (i.e., a difference between vegetation types when averaged over depth) for any of the four soil properties measured in this study. Differences were found with depth and depended on a significant interaction with vegetation type. At the surface depth (0-0.15 m), soil beneath prairie gardens had 10% lower mean BD, 15% lower mean PR, 25% greater level of SOM, and 33% greater Ksat compared with soil beneath the adjacent lawns. These differences were not detected at deeper sampling intervals of 0.15 to 0.30 m and 0.30 to 0.45 m. Although not statistically significant, the consistent trend and direction among soil variables suggest that residential prairie gardens had changed the surface soil at a rate that marginally outpaced turfgrass and calls for controlled experiments to identify the mechanisms that might enhance these trends."," Despite a consistent trend in the difference between vegetation types, no significant main effects were found (i",None," Although not statistically significant, the consistent trend and direction among soil variables suggest that residential prairie gardens had changed the surface soil at a rate that marginally outpaced turfgrass and calls for controlled experiments to identify the mechanisms that might enhance these trends"
A unified look at phosphorus treatment using bioretention,"Li J., Davis A.P.",Water Research,2016-03-01,2,"Copyright, 2015 Elsevier Ltd. Phosphorus (P) is a water pollutant of significant concern as it limits the productivity of most freshwater systems, which can undergo eutrophication under heavy phosphorus inputs. Bioretention has shown great potential for stormwater quantity and quality control. However, phosphorus removal has been inconsistent in bioretention systems, with phosphorus leaching observed in some systems. This paper examines P removal mechanisms and performance in bioretention systems through published data. A temporal concept of P fate for different time-scales is proposed. A model is developed to predict effluent P concentrations (Ce) based on a media equilibrium concentration (Ceq) assumption, which is suitable for both short and long-term simulation. Ceq is well correlated with Ce for P data for different time-scales. Ceq varies less in media containing Al and Fe than in typical bioretention soil media. Although significant change in Ceq may occur during an event and long-term, Ceq variation in short-term is small. During the event and short terms, for high-P containing media, the concentration relationship is Ceq &gt; Ce &gt; C0 (influent P concentrations); for low-P containing media, Ceq &lt; Ce &lt; C0. During long-term, as media equilibrates with the influent runoff, Ceq ≈ Ce ≈ C0. The model explains concentration changes of P with depth. With proper selection of media and amendments, Ceq can be driven towards zero for P in bioretention media."," Phosphorus (P) is a water pollutant of significant concern as it limits the productivity of most freshwater systems, which can undergo eutrophication under heavy phosphorus inputs",None,None
"Global topics and novel approaches in the study of air pollution, climate change and forest ecosystems","Sicard P., Augustaitis A., Belyazid S., Calfapietra C., de Marco A., Fenn M., Bytnerowicz A., Grulke N., He S., Matyssek R., Serengil Y., Wieser G., Paoletti E.",Environmental Pollution,2016-06-01,2,"Copyright, 2016 Elsevier Ltd Research directions from the 27th conference for Specialists in Air Pollution and Climate Change Effects on Forest Ecosystems (2015) reflect knowledge advancements about (i) Mechanistic bases of tree responses to multiple climate and pollution stressors, in particular the interaction of ozone (O3) with nitrogen (N) deposition and drought; (ii) Linking genetic control with physiological whole-tree activity; (iii) Epigenetic responses to climate change and air pollution; (iv) Embedding individual tree performance into the multi-factorial stand-level interaction network; (v) Interactions of biogenic and anthropogenic volatile compounds (molecular, functional and ecological bases); (vi) Estimating the potential for carbon/pollution mitigation and cost effectiveness of urban and peri-urban forests; (vii) Selection of trees adapted to the urban environment; (viii) Trophic, competitive and host/parasite relationships under changing pollution and climate; (ix) Atmosphere–biosphere–pedosphere interactions as affected by anthropospheric changes; (x) Statistical analyses for epidemiological investigations; (xi) Use of monitoring for the validation of models; (xii) Holistic view for linking the climate, carbon, N and O3 modelling; (xiii) Inclusion of multiple environmental stresses (biotic and abiotic) in critical load determinations; (xiv) Ecological impacts of N deposition in the under-investigated areas; (xv) Empirical models for mechanistic effects at the local scale; (xvi) Broad-scale N and sulphur deposition input and their effects on forest ecosystem services; (xvii) Measurements of dry deposition of N; (xviii) Assessment of evapotranspiration; (xix) Remote sensing assessment of hydrological parameters; and (xx) Forest management for maximizing water provision and overall forest ecosystem services. Ground-level O3 is still the phytotoxic air pollutant of major concern to forest health. Specific issues about O3 are: (xxi) Developing dose–response relationships and stomatal O3 flux parameterizations for risk assessment, especially, in under-investigated regions; (xxii) Defining biologically based O3 standards for protection thresholds and critical levels; (xxiii) Use of free-air exposure facilities; (xxiv) Assessing O3 impacts on forest ecosystem services.",None,None,None
Factorial two-Stage irrigation system optimization model,"Xin X., Huang G., Sun W., Zhou Y., Fan Y.",Journal of Irrigation and Drainage Engineering,2016-01-01,2,"Copyright, 2015 American Society of Civil Engineers. This study proposes a factorial two-stage irrigation system optimization model (FTIM) for supporting agricultural irrigation water-resource management under uncertainty. The FTIM incorporates fractional factorial design, two-stage stochastic programming (TSP), interval linear programming (ILP), and interval probability and is applied to agricultural water allocation. The FTIM can take full advantage of conventional two-stage optimization approaches to tackle uncertainties presented as intervals, to investigate potential interactions among input parameters and their influences on system performance, and to enhance applicability to dual uncertainties expressed as interval probabilities. The proposed FTIM approach is for the first time applied to a hypothetical case study of water resource allocation in an agricultural irrigation problem. The results indicate that the effects of parameters on the objective function are evaluated quantitatively, which can help decision makers screen out significant parameters, analyze their interactions in model response, and identify possible schemes with maximized net system benefit. Especially for the study problem, the most positive significant factor affecting total net benefits is water quality at a medium flow; penalties resulting from undelivered water and benefit rates of onion farms in both periods have negative effects."," The results indicate that the effects of parameters on the objective function are evaluated quantitatively, which can help decision makers screen out significant parameters, analyze their interactions in model response, and identify possible schemes with maximized net system benefit",None,None
"Transforming water management in Llanelli, UK","Ellis C., Cripps R., Russ M., Broom S.",Proceedings of the Institution of Civil Engineers: Civil Engineering,2016-02-01,2,"Copyright, 2016, ICE Publishing. All rights reserved. In Llanelli, South Wales, high volumes of surface water have led to excess discharges from combined sewer overflows into designated shellfish waters and the risk of widespread property flooding. A comprehensive catchment-wide modelling assessment was undertaken to develop a pioneering, community-focused strategy based on retrofitting sustainable drainage systems. This paper outlines the approach taken to develop and compare catchment strategy options; describes the journey through delivery and performance evaluation; and explores the social, environmental and economic constraints and opportunities. The project is a blueprint for integrated catchment management and water-sensitive urban design, promoting best practice in flooding mitigation and climate-change resilience across the UK.",None,None,None
Improving evapotranspiration mechanisms in the U.S. Environmental Protection Agency's storm water management model,"Feng Y., Burian S.",Journal of Hydrologic Engineering,2016-10-01,1,"Copyright, 2016 American Society of Civil Engineers. Most stormwater models oversimplify evapotranspiration (ET) processes, which restricts their applications in water budget analyses, ecosystem services assessments, and coupled modeling studies such as with urban climate models to investigate benefits of green infrastructure (GI) implementation. To address this need, the Penman-Monteith scheme was incorporated into the United States Environmental Protection Agency's storm water management model (SWMM) to improve the latter's ET routine. The modified SWMM allows heterogeneous and subdaily potential ET (PET) inputs, and includes the effects of water stress on actual ET (AET). The updated ET routine was validated for GI, including bioretention (R2 = 0.57) and green roof (R2 = 0.78), by comparing with direct measurements. A case study showed the upgraded SWMM model generates improved daily ET estimates and more accurate temporal patterns than previous SWMM versions. The results also suggest that water cycle fluxes could be miscalculated if a homogeneous potential ET is used in SWMM and other stormwater models. For example, the annual percolation and AET amounts could be overestimated and underestimated by 406% and 9% respectively for landscapes, and the annual AET and runoff amounts could be overestimated and underestimated by 12-19% and 14-19% respectively for GI, if the mismatched PET time series is used.",None,None, The results also suggest that water cycle fluxes could be miscalculated if a homogeneous potential ET is used in SWMM and other stormwater models
Quantifying volume reduction and peak flow mitigation for three bioretention cells in clay soils in northeast Ohio,"Winston R.J., Dorsey J.D., Hunt W.F.",Science of the Total Environment,2016-05-15,1,"Copyright, 2016 Elsevier B.V. Green infrastructure aims to restore watershed hydrologic function by more closely mimicking pre-development groundwater recharge and evapotranspiration (ET). Bioretention has become a popular stormwater control due to its ability to reduce runoff volume through these pathways. Three bioretention cells constructed in low permeability soils in northeast Ohio were monitored for non-winter quantification of inflow, drainage, ET, and exfiltration. The inclusion of an internal water storage (IWS) zone allowed the three cells to reduce runoff by 59%, 42%, and 36% over the monitoring period, in spite of the tight underlying soils. The exfiltration rate and the IWS zone thickness were the primary determinants of volume reduction performance. Post-construction measured drawdown rates were higher than pre-construction soil vertical hydraulic conductivity tests in all cases, due to lateral exfiltration from the IWS zones and ET, which are not typically accounted for in pre-construction soil testing. The minimum rainfall depths required to produce outflow for the three cells were 5.5, 7.4, and 13.8 mm. During events with 1-year design rainfall intensities, peak flow reduction varied from 24 to 96%, with the best mitigation during events where peak rainfall rate occurred before the centroid of the rainfall volume, when adequate bowl storage was available to limit overflow.",None,None,None
