title,authors,journal,date,cites number,abstract,significant relationship,conclusion,suggestion
The characteristics of steel slag and the effect of its application as a soil additive on the removal of nitrate from aqueous solution,"Liyun, Yang, Ping, Xu, Maomao, Yang, Hao, Bai",Environmental Science and Pollution Research,2016-12-17,N/A,"This study examined the characteristics of nitrate removal from aqueous solution by steel slag and the feasibility of using steel slag as a soil additive to remove nitrate. Steel slag adsorbents were characterized by X-ray fluorescence (XRF), X-ray diffraction (XRD), scanning electron microscopy (SEM) and infrared spectrum (IR spectrum). Adsorption isotherms and kinetics were also analysed. Various parameters were measured in a series of batch experiments, including the sorbent dose, grain size of steel slag, reaction time, initial concentration of nitrate nitrogen, relationship between Al, Fe and Si ions leached from the steel slag and residual nitrate in the aqueous solution. The nitrate adsorbing capacity increased with increasing amounts of steel slag. In addition, decreasing the grain diameter of steel slag also enhanced the adsorption efficiency. Nitrate removal from the aqueous solution was primarily related to Al, Fe, Si and Mn leached from the steel slag. The experimental data conformed to second-order kinetics and the Freundlich isothermal adsorption equation, indicating that the adsorption of nitrate by steel slag is chemisorption under the action of monolayer adsorption. Finally, it was determined that using steel slag as a soil additive to remove nitrate is a feasible strategy.",None,None,None
Protection Methods Against Sea-Level Rise Caused by Climatic Change: Case Study of the Nile Delta Coastal Zones,"Koraim, Ayman Sabry, Negm, Abdelazim",,2016-12-10,N/A,"The global mean surface temperature is projected to increase about 1–3.5°C by the year 2100 caused by a sea-level rise (SLR) of about 15–95 cm. Low gradient coastal landforms most susceptible to inundation include deltas, estuaries, beaches and barrier islands, and coral reefs. Without serious adaptation measures, millions of peoples will be displaced from their homes. Moreover, the loss of productive land, they will have serious implications on job opportunities, food availability, and population movement. In this paper, the current status of many countries in the world affected by rising sea levels is presented. Also, the methods and strategies that can be used to cope with the expected sea level rising are discussed briefly such as nourishment, barriers, coastal armoring, managed retreat, application of the integrated coastal zone management (ICZM), use of floatable developments, etc. In addition, the different types of coastal dikes as widely used methods to protect the coasts from SLR are summarized. Finally, the current situation in Egypt and their vulnerability to SLR is presented.",None,None,None
Characterizing the Effects of Stormwater Mitigation on Nutrient Export and Stream Concentrations,"Bell, Colin D., McMillan, Sara K., Clinton, Sandra M., Jefferson, Anne J.",Environmental Management,2016-12-08,N/A,"Urbanization increases nutrient loading and lowers residence times for processing of reactive solutes, including nitrate, total dissolved nitrogen, orthophosphate, and dissolved organic carbon), which leads to increased stream concentrations and mass export. Stormwater control measures mitigate the impacts of urbanization, and have the potential to improve stream water quality, however the net effect instream is not well understood. We monitored two urban and two suburban watersheds in Charlotte, NC to determine if mitigation controlled the fraction of total mass export during storm, if development classification as either urban or suburban (defined by the age, density and distribution of urban development) controlled storm nutrient and carbon dynamics, and if stormwater control measures were able to change stream water chemistry. While average concentrations during stormflow were generally greater than baseflow, indicating that storms are important times of solute export, the fraction of storm-derived export was unrelated to mitigation by stormwater control measures. Development classification was generally not an important control on export of N and dissolved organic carbon. However, event mean concentrations of orthophosphate were higher at the suburban sites, possibly from greater fertilizer application. Stormwater control measures influenced instream water chemistry at only one site, which also had the greatest mitigated area, but differences between stormwater control measure outflow and stream water suggest the potential for water quality improvements. Together, results suggest stormwater control measures have the potential to decrease solute concentrations from urban runoff, but the type, location, and extent of urban development in the watershed may influence the magnitude of this effect.",None,None," Stormwater control measures influenced instream water chemistry at only one site, which also had the greatest mitigated area, but differences between stormwater control measure outflow and stream water suggest the potential for water quality improvements"
Designing Bioretention Areas for Stormwater Management,"Chin, David A.",Environmental Processes,2016-12-06,N/A,"Governing equations for designing bioretention areas for both flood control and water-quality control are developed, and a design protocol for applying these equations is also presented. Factors taken into account include the flood-control return period, the local intensity-duration-frequency (IDF) function, the catchment volumetric runoff coefficient, and the depth and infiltration capacity of the bioretention-area bowl. It is shown that the IDF functions nested within the conventional Natural Resources Conservation Service (NRCS) rainfall distributions can be described by a common functional form, with different parameters for each of the four rainfall types. These extracted IDF functions are used to show that designing bioretention areas for flood control is more feasible in the western part of the United States that have Type I rainfall, compared to other parts of the county that have Types IA, II, and III rainfall. It is demonstrated that practical bioretention areas that are sized for water-quality control can also meet flood-control regulations in some areas. A design example is provided to demonstrate the typical sizing of bioretention areas for both flood control and water-quality control.",None,None,None
Coupling human preferences with biophysical processes: modeling the effect of citizen attitudes on potential urban stormwater runoff,"Sun, Ning, Hall, Myrna",Urban Ecosystems,2016-12-01,N/A,"Green infrastructure (GI) is gaining wide popularity as a means to reduce urban stormwater runoff. The challenges to long-term success of many GI policies, however, depend on citizen understanding and willingness to be engaged in the process of GI implementation. In this study, we developed a conceptual model that incorporated human preferences and biophysical processes in a coupled manner to estimate stormwater runoff variation at the sewershed scale under different acceptable GI implementation scenarios. To investigate resident receptivity toward GI implementation, we conducted surveys in selected Syracuse sewersheds and developed the scenario of residents implementing rain barrels and rain gardens in their private properties based on the survey results. We simulated this scenario at the lot level using the model we developed within the framework of the EPA SWMM 5 model to estimate reductions in peak flow and total runoff volume for major storm events. With our model, we also tested the effect of planned government tree planting scenarios. The scenario simulations were applied in three urban sewersheds of varying socio-economic and biophysical structures in the City of Syracuse, New York. The simulation results indicated that both the “government participation” and “household participation” scenarios, compared to pre-GI-development conditions, would contribute to a modest reduction in stormwater peak flow (>4 %) and total runoff volume (>5 %) across the simulated sewersheds. This study provides decision makers with a scientific methodology to quantify how human decisions can shape ecosystem function, and thus support sustainable stormwater management planning while addressing citizen preferences and needs.",None,None,None
"Urban metabolism in Syracuse, NY – introduction","Nowak, David J.",Urban Ecosystems,2016-12-01,N/A,,None,None,None
The Physical Activity and Redesigned Community Spaces (PARCS) Study: Protocol of a natural experiment to investigate the impact of citywide park redesign and renovation,"Huang, Terry T. K., Wyka, Katarzyna E., Ferris, Emily B., Gardner, Jennifer, Evenson, Kelly R., Tripathi, Devanshi, Soto, Gabriel Martinez, Cato, Matthew S., Moon, Jon, Wagner, Julia, Dorn, Joan M., Catellier, Diane J., Thorpe, Lorna E.",BMC Public Health,2016-11-14,N/A,"BackgroundThe built environment plays a critical role in promoting physical activity and health. The association between parks, as a key attribute of the built environment, and physical activity, however, remains inconclusive. This project leverages a natural experiment opportunity to assess the impact of the Community Parks Initiative (CPI), a citywide park redesign and renovation effort in New York City, on physical activity, park usage, psychosocial and mental health, and community wellbeing.MethodsThe project will use a longitudinal design with matched controls. Thirty intervention park neighborhoods are socio-demographically matched to 20 control park neighborhoods. The study will investigate whether improvements in physical activity, park usage, psychosocial and mental health, and community wellbeing are observed from baseline to 3 years post-renovation among residents in intervention vs. control neighborhoods.DiscussionThis study represents a rare opportunity to provide robust evidence to further our understanding of the complex relationship between parks and health. Findings will inform future investments in health-oriented urban design policies and offer evidence for addressing health disparities through built environment strategies."," The association between parks, as a key attribute of the built environment, and physical activity, however, remains inconclusive"," The association between parks, as a key attribute of the built environment, and physical activity, however, remains inconclusive",None
Multi-Objective Optimal Design of Detention Tanks in the Urban Stormwater Drainage System: LID Implementation and Analysis,"Duan, Huan-Feng, Li, Fei, Yan, Hexiang",Water Resources Management,2016-10-01,N/A,"Under the influences of climate change and rapid urbanization, extreme rainfall events become more and more intensive and the urban flooding issues have been frequently faced in many cities in the world. Previous practical and scientific experiences have demonstrated that appropriate utilization of detention facilities and low impact development (LID) devices for urban region design could be important and effective ways to the flooding control and drainage service management of an urban stormwater drainage system (USDS). This paper investigates the optimal design and application of detention tank network and LID devices for achieving these multiple objectives in the USDS. The framework and method of LID-based multi-objective optimal design of detention tanks in USDS is first developed in this study, and a practical case in SA city of China is then taken for the application. The results of this study confirm the feasibility and validity of the proposed methodological framework for the LID-based multi-objective optimal design of detention tanks in the USDS. Specifically, both total investment costs and flooding risk have been greatly reduced by the optimal implementation of the detention tank and LID measures. Meanwhile, the results indicate that the LID devices may have global effect to the flooding control and the detention tanks can be locally efficient to reduce the flooding risk. Finally, the findings of this study are discussed in the paper for their practical implications to the practical design and management of USDS.",None,None,None
Stormwater management and climate change: vulnerability and capacity for adaptation in urban and suburban contexts,"Moore, Trisha L., Gulliver, John S., Stack, Latham, Simpson, Michael H.",Climatic Change,2016-10-01,N/A,"Managing stormwater under climate uncertainty is a concern in both built-out communities and those continuing to undergo land use change. In this study, a suite of climate change scenarios were developed to represent a probable range of change in the 10-year recurrence interval design storm. The Environmental Protection Agency’s Stormwater Management Model was used to predict flooding due to undersized drainage components within watersheds representing a traditional, built-out urban area and a developing suburban area with intact green infrastructure corridors. Despite undersized infrastructure and flooding in both study watersheds, the risk of property damage in the suburban watershed was negligible across the range of scenarios even at projected build-out, due in part to flood storage capacity of the green infrastructure network. Adaptation approaches – including pipe upsizing, underground storage, and bioinfiltration – and costs were also modeled in both watersheds. In the built-out site, bioinfiltration practices were predicted to moderate both flooding and total adaptation costs even when implemented over a relatively modest (10 %) portion of the watershed; however, a substantial upgrade to gray stormwater infrastructure (pipes and storage chambers) was also needed to mitigate impacts. In the urbanizing community, maintaining an intact green infrastructure network was surmised to be the most cost-effective approach for enhancing the resilience of urban stormwater systems to climate uncertainties and urbanization.",None,None,None
Sustainable drainage system site assessment method using urban ecosystem services,"Mak, Chunglim, Scholz, Miklas, James, Philip",Urban Ecosystems,2016-09-06,N/A,"The United Kingdom’s recently updated approach to sustainable drainage enhanced biodiversity and amenity objectives by incorporating the ecosystem approach and the ecosystem services concept. However, cost-effective and reliable methods to appraise the biodiversity and amenity values of potential sustainable drainage system (SuDS) sites and their surrounding areas are still lacking, as is a method to enable designers to distinguish and link the amenity and biodiversity benefits that SuDS schemes can offer. In this paper, therefore, the authors propose two ecosystem services- and disservices-based methods (i.e. vegetation structure cover-abundance examination and cultural ecosystem services and disservices variables appraisal) to aid SuDS designers to distinguish and link amenity and biodiversity benefits, and allow initial site assessments to be performed in a cost-effective and reliable fashion. Forty-nine representative sites within Greater Manchester were selected to test the two methods. Amenity and biodiversity were successfully assessed and habitat for species, carbon sequestration, recreation and education ecosystem services scores were produced, which will support SuDS retrofit design decision-making. Large vegetated SuDS sites with permanent aquatic features were found to be most capable of enhancing biodiversity- and amenity-related ecosystem services. Habitat for species and recreation ecosystem services were also found to be positively linked to each other. Finally, waste bins on site were found to help reduce dog faeces and litter coverage. Overall, the findings presented here enable future SuDS retrofit designs to be more wildlife friendly and socially inclusive.",None,None,None
